Service,Region,Subservice,Detail,Cost_Month1,Cost_Month2,Difference
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for PostgreSQL,$USD 0.021 per db.t3.micro Single-AZ instance hour (or partial hour) running PostgreSQL,15.62,15.12,0.5
Relational Database Service,EU (Ireland),,,0.05,0.05,0.0
Relational Database Service,EU (Ireland),Amazon Relational Database Service Backup Storage,,0.05,0.05,0.0
Relational Database Service,EU (Ireland),Amazon Relational Database Service Backup Storage,$0.095 per additional GB-month of backup storage exceeding free allocation,0.05,0.05,0.0
Elastic Compute Cloud,,,,9810.65,9599.96,210.6900000000005
Elastic Compute Cloud,EU (Frankfurt),,,9808.09,9597.4,210.6900000000005
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud NatGateway,,2894.08,3027.94,-133.86000000000013
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud NatGateway,$0.052 per GB Data Processed by NAT Gateways,1929.58,2054.5,-124.92000000000007
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud NatGateway,$0.052 per NAT Gateway Hour,964.5,973.44,-8.940000000000055
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud T3ACPUCredits,,1.72,2.02,-0.30000000000000004
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud T3ACPUCredits,$0.05 per vCPU-Hour of T3A CPU Credits,1.72,2.02,-0.30000000000000004
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,,1559.13,1385.88,173.25
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.0067 per On Demand Linux t2.nano Instance Hour,14.94,14.47,0.46999999999999886
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.0096 per On Demand Linux t4g.micro Instance Hour,7.13,6.91,0.21999999999999975
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.0108 per On Demand Linux t3a.micro Instance Hour,16.07,15.56,0.5099999999999998
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.012 per On Demand Linux t3.micro Instance Hour,17.85,17.63,0.22000000000000242
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.0134 per On Demand Linux t2.micro Instance Hour,83.75,92.17,-8.420000000000002
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.0216 per On Demand Linux t3a.small Instance Hour,16.05,15.56,0.4900000000000002
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.024 per On Demand Linux t3.small Instance Hour,17.85,17.27,0.5800000000000018
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.0268 per On Demand Linux t2.small Instance Hour,44.67,57.92,-13.25
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.0432 per On Demand Linux t3a.medium Instance Hour,153.53,155.48,-1.9499999999999886
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.0536 per On Demand Linux t2.medium Instance Hour,30.45,0,30.45
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.087 per On Demand Linux c5a.large Instance Hour,390.35,375.32,15.03000000000003
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.096 per On Demand Linux t3.large Instance Hour,71.42,69.12,2.299999999999997
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.115 per On Demand Linux m5.large Instance Hour,1.64,1.74,-0.10000000000000009
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.1728 per On Demand Linux t3a.xlarge Instance Hour,378.14,294.01,84.13
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.192 per On Demand Linux t3.xlarge Instance Hour,142.82,138.14,4.680000000000007
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.3456 per On Demand Linux t3a.2xlarge Instance Hour,5.58,0,5.58
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.384 per On Demand Linux t3.2xlarge Instance Hour,285.7,276.1,9.599999999999966
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.54 per On Demand Linux i3en.xlarge Instance Hour,0,77.33,-77.33
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$0.828 per On Demand Linux m6a.4xlarge Instance Hour,3018.93,2474.54,544.3899999999999
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX,$1.08 per On Demand Linux i3en.2xlarge Instance Hour,0,0.11,-0.11
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX Reserved Instances,,3871.28,3746.4,124.88000000000011
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX Reserved Instances,"$USD 0.27386 hourly fee per Linux/UNIX (Amazon VPC), m6a.2xlarge instance",3871.28,3746.4,124.88000000000011
Elastic Compute Cloud,EU (Frankfurt),Amazon Elastic Compute Cloud running Linux/UNIX Spot Instances,,130.65,115.98,14.670000000000002
Elastic Compute Cloud,EU (Frankfurt),EBS,,1351.23,1319.18,32.049999999999955
Elastic Compute Cloud,EU (Frankfurt),EBS,$0.0476 per provisioned MiBps-month of gp3 - EU (Frankfurt),16.89,16.7,0.19000000000000128
Elastic Compute Cloud,EU (Frankfurt),EBS,$0.054 per GB-Month of snapshot data stored - EU (Frankfurt),158.49,159.51,-1.0199999999999818
Elastic Compute Cloud,EU (Frankfurt),EBS,$0.0952 per GB-month of General Purpose (gp3) provisioned storage - EU (Frankfurt),604.05,570.94,33.1099999999999
Elastic Compute Cloud,EU (Frankfurt),EBS,$0.119 per GB-month of General Purpose SSD (gp2) provisioned storage - EU (Frankfurt),571.8,572.03,-0.2300000000000182
Elastic Compute Cloud,EU (Frankfurt),t3.medium Linux/UNIX Spot Instance-hour in EU (Frankfurt) in VPC Zone #53,,10.8,11.4,-0.5999999999999996
Elastic Compute Cloud,EU (Frankfurt),t3.medium Linux/UNIX Spot Instance-hour in EU (Frankfurt) in VPC Zone #54,,10.74,10.02,0.7200000000000006
Elastic Compute Cloud,EU (Frankfurt),t3a.medium Linux/UNIX Spot Instance-hour in EU (Frankfurt) in VPC Zone #53,,41.38,33.2,8.18
Elastic Compute Cloud,EU (Frankfurt),t3a.medium Linux/UNIX Spot Instance-hour in EU (Frankfurt) in VPC Zone #54,,67.73,61.36,6.3700000000000045
Elastic Compute Cloud,US East (N. Virginia),,,2.56,2.56,0.0
Elastic Compute Cloud,US East (N. Virginia),Amazon Elastic Compute Cloud running Linux/UNIX,$0.0416 per On Demand Linux t3.medium Instance Hour,30.95,29.91,1.0399999999999991
Elastic Compute Cloud,US East (N. Virginia),EBS,,2.56,2.56,0.0
Elastic Compute Cloud,US East (N. Virginia),EBS,$0.08 per GB-month of General Purpose (gp3) provisioned storage - US East (N. Virginia),2.56,2.56,0.0
Data Transfer,,,,9766.98,9109.28,657.6999999999989
Data Transfer,EU (Frankfurt),,,9752.59,9097.36,655.2299999999996
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-CPH1-AWS-Out-Bytes,,0.01,0.01,0.0
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-CPH1-AWS-Out-Bytes,$0.02 per GB - EU (Frankfurt) datatransfer to Denmark (Copenhagen),0.01,0.01,0.0
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-EU-AWS-Out-Bytes,,74.27,67.81,6.459999999999994
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-EU-AWS-Out-Bytes,$0.02 per GB - EU (Germany) data transfer to EU (Ireland),74.27,67.81,6.459999999999994
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-EUN1-AWS-Out-Bytes,,0.13,0.13,0.0
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-EUN1-AWS-Out-Bytes,$USD 0.02 per GB for EUN1-AWS-Out-Bytes in EU (Stockholm),0.13,0.13,0.0
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-EUW2-AWS-Out-Bytes,,0.36,0.31,0.04999999999999999
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-EUW2-AWS-Out-Bytes,$0.02 per GB - EU (Germany) data transfer to EU (London),0.36,0.31,0.04999999999999999
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-USE1-AWS-Out-Bytes,,2.3,2.19,0.10999999999999988
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-USE1-AWS-Out-Bytes,$0.02 per GB - EU (Germany) data transfer to US East (Northern Virginia),2.3,2.19,0.10999999999999988
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-USE2-AWS-Out-Bytes,,0.01,0,0.01
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-USE2-AWS-Out-Bytes,$0.02 per GB - EU (Germany) data transfer to US East (Ohio),0.01,0,0.01
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-USW2-AWS-Out-Bytes,,0.18,0.14,0.03999999999999998
Data Transfer,EU (Frankfurt),AWS Data Transfer EUC1-USW2-AWS-Out-Bytes,$0.02 per GB - EU (Germany) data transfer to US West (Oregon),0.18,0.14,0.03999999999999998
Data Transfer,EU (Frankfurt),Bandwidth,,9675.33,9026.77,648.5599999999995
Data Transfer,EU (Frankfurt),Bandwidth,$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,4542.22,4167.59,374.6300000000001
Data Transfer,EU (Frankfurt),Bandwidth,$0.070 per GB - next 100 TB / month data transfer out,729.91,455.98,273.92999999999995
Data Transfer,EU (Frankfurt),Bandwidth,$0.085 per GB - next 40 TB / month data transfer out,3481.6,3481.6,0.0
Data Transfer,EU (Frankfurt),Bandwidth,$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier,921.6,921.6,0.0
Data Transfer,EU (Ireland),,,5.21,5.32,-0.11000000000000032
Data Transfer,EU (Ireland),Bandwidth,,5.21,5.32,-0.11000000000000032
Data Transfer,EU (Ireland),Bandwidth,$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier,5.21,5.32,-0.11000000000000032
Data Transfer,US East (N. Virginia),,,9.18,6.6,2.58
Data Transfer,US East (N. Virginia),Bandwidth,,9.18,6.6,2.58
Data Transfer,US East (N. Virginia),Bandwidth,$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier,9.18,6.6,2.58
OpenSearch Service,,,,7914.13,7631.8,282.3299999999999
OpenSearch Service,EU (Frankfurt),,,7914.13,7631.8,282.3299999999999
OpenSearch Service,EU (Frankfurt),Amazon OpenSearch Service ESDomain,,6584.6,6345.16,239.4400000000005
OpenSearch Service,EU (Frankfurt),Amazon OpenSearch Service ESDomain,$0.161 per GB-month of general purpose provisioned storage - EUC1,28.98,28.98,0.0
OpenSearch Service,EU (Frankfurt),Amazon OpenSearch Service ESDomain,$0.202 per r6g.large.search instance hour (or partial hour) - EUC1,901.73,872.64,29.090000000000032
OpenSearch Service,EU (Frankfurt),Amazon OpenSearch Service ESDomain,$0.807 per r6g.2xlarge.search instance hour (or partial hour) - EUC1,3602.45,3486.24,116.21000000000004
OpenSearch Service,EU (Frankfurt),Amazon OpenSearch Service ESDomain,$USD 0.1452/GB-month provisioned gp3 storage - EUC1,2051.44,1957.3,94.1400000000001
OpenSearch Service,EU (Frankfurt),Amazon OpenSearch Service ESDomain Reserved Instances,,1329.53,1286.64,42.88999999999987
OpenSearch Service,EU (Frankfurt),"AmazonOpenSearchService, t3.medium.search reserved instance applied","$USD 0.069 hourly fee per AmazonOpenSearchService, t3.medium.search instance",102.67,99.36,3.3100000000000023
OpenSearch Service,EU (Frankfurt),"AmazonOpenSearchService, t3.medium.search reserved instance applied","$USD 0.089 hourly fee per AmazonOpenSearchService, c6g.large.search instance",397.3,384.48,12.819999999999993
OpenSearch Service,EU (Frankfurt),"AmazonOpenSearchService, t3.medium.search reserved instance applied","$USD 0.139 hourly fee per AmazonOpenSearchService, r6g.large.search instance",206.83,200.16,6.670000000000016
OpenSearch Service,EU (Frankfurt),"AmazonOpenSearchService, t3.medium.search reserved instance applied","$USD 0.279 hourly fee per AmazonOpenSearchService, r6g.xlarge.search instance",622.73,602.64,20.090000000000032
Simple Storage Service,,,,7344.66,6589.27,755.3899999999994
Simple Storage Service,EU (Frankfurt),,,7341.77,6586.62,755.1500000000005
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-Monitoring-Automation-INT,,618.72,597.04,21.680000000000064
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-Monitoring-Automation-INT,"$0.0025 per 1,000 Objects per month in Intelligent-Tiering",618.72,597.04,21.680000000000064
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-Requests-GLACIER-Tier2,,0.07,1.0,-0.9299999999999999
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-Requests-GLACIER-Tier2,"$0.0043 per 10,000 GET and all other requests from Glacier",0.07,1.0,-0.9299999999999999
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-Requests-INT-Tier2,,10.07,13.9,-3.83
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-Requests-INT-Tier2,"$0.0043 per 10,000 GET and all other requests to Intelligent-Tiering",10.07,13.9,-3.83
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-Requests-SIA-Tier1,,86.44,92.4,-5.960000000000008
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-Requests-SIA-Tier1,"$0.01 per 1,000 PUT, COPY, POST or LIST requests to Standard-Infrequent Access",86.44,92.4,-5.960000000000008
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-Requests-Tier1,,772.37,717.61,54.75999999999999
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-Requests-Tier1,"$0.0054 per 1,000 PUT, COPY, POST, or LIST requests",772.37,717.61,54.75999999999999
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-Requests-Tier2,,1530.02,870.9,659.12
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-Requests-Tier2,"$0.0043 per 10,000 GET and all other requests",1530.02,870.9,659.12
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-ByteHrs,,1110.22,1066.12,44.100000000000136
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-ByteHrs,$0.0245 per GB - first 50 TB / month of storage used,1110.22,1066.12,44.100000000000136
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-GIR-ByteHrs,,3.51,3.41,0.09999999999999964
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-GIR-ByteHrs,$0.005 per GB-Month of storage used in Glacier Instant Retrieval,3.51,3.41,0.09999999999999964
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-GlacierByteHrs,,120.92,114.44,6.480000000000004
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-GlacierByteHrs,$0.00405 per GB / month of storage used - Amazon Glacier,120.92,114.44,6.480000000000004
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-INT-AIA-ByteHrs,,585.9,570.49,15.409999999999968
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-INT-AIA-ByteHrs,"$0.005 per GB-Month of storage used in Intelligent-Tiering, Archive Instant Access tier",585.9,570.49,15.409999999999968
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-INT-FA-ByteHrs,,335.39,311.6,23.789999999999964
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-INT-FA-ByteHrs,"$0.0245 per GB - first 50 TB / month of storage used in Intelligent-Tiering, Frequent Access Tier",335.39,311.6,23.789999999999964
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-INT-IA-ByteHrs,,179.97,167.2,12.77000000000001
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-INT-IA-ByteHrs,"$0.0135 per GB-Month of storage used in Intelligent-Tiering, Infrequent Access Tier",179.97,167.2,12.77000000000001
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-SIA-ByteHrs,,1629.24,1573.32,55.92000000000007
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-SIA-ByteHrs,$0.0135 per GB-Month of storage used in Standard-Infrequent Access,1629.24,1573.32,55.92000000000007
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-SIA-SmObjects,,15.31,15.02,0.2900000000000009
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-SIA-SmObjects,$0.0135 per GB-Month of storage used for small objects,15.31,15.02,0.2900000000000009
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service RestoreObject,,5.73,19.2,-13.469999999999999
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service RestoreObject,$0.012 per GB - Standard retrieval fee,1.9,7.52,-5.619999999999999
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service RestoreObject,"$0.06 per 1,000 Glacier Requests",3.83,11.68,-7.85
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service S3-GlacierTransition,,36.56,160.78,-124.22
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service S3-GlacierTransition,"$0.036 per 1,000 Glacier Requests",36.56,160.78,-124.22
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service S3-INTTransition,,145.95,142.14,3.8100000000000023
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service S3-INTTransition,"$0.01 per 1,000 transitions to Intelligent Tiering",145.95,142.14,3.8100000000000023
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service StorageLens,,155.38,150.05,5.329999999999984
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service StorageLens,$0.20 per MM objects per monthfor the first 25B objects for Storage Lens to Europe (Frankfurt),155.38,150.05,5.329999999999984
Simple Storage Service,EU (Ireland),,,0.05,0.05,0.0
Simple Storage Service,EU (Ireland),Amazon Simple Storage Service EU-TimedStorage-ByteHrs,,0.05,0.05,0.0
Simple Storage Service,EU (Ireland),Amazon Simple Storage Service EU-TimedStorage-ByteHrs,$0.023 per GB - first 50 TB / month of storage used,0.05,0.05,0.0
Simple Storage Service,US East (N. Virginia),,,2.84,2.6,0.23999999999999977
Simple Storage Service,US East (N. Virginia),Amazon Simple Storage Service Requests-Tier1,,1.55,1.39,0.16000000000000014
Simple Storage Service,US East (N. Virginia),Amazon Simple Storage Service Requests-Tier1,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",1.55,1.39,0.16000000000000014
Simple Storage Service,US East (N. Virginia),Amazon Simple Storage Service Requests-Tier2,,0.38,0.33,0.04999999999999999
Simple Storage Service,US East (N. Virginia),Amazon Simple Storage Service Requests-Tier2,"$0.004 per 10,000 GET and all other requests",0.38,0.33,0.04999999999999999
Simple Storage Service,US East (N. Virginia),Amazon Simple Storage Service TimedStorage-ByteHrs,,0.91,0.88,0.030000000000000027
Simple Storage Service,US East (N. Virginia),Amazon Simple Storage Service TimedStorage-ByteHrs,$0.023 per GB - first 50 TB / month of storage used,0.91,0.88,0.030000000000000027
CloudFront,,,,3074.67,2859.82,214.8499999999999
CloudFront,,Africa (Cape Town),,1.87,0.6,1.27
CloudFront,,Amazon CloudFront AP-Requests-HTTPS-Proxy,,0.31,0.1,0.21
CloudFront,,Amazon CloudFront AP-Requests-HTTPS-Proxy,"$0.0120 per 10,000 Proxy HTTPS Requests (Asia)",0.31,0.1,0.21
CloudFront,,Amazon CloudFront AU-Requests-HTTPS-Proxy,,0.06,0.05,0.009999999999999995
CloudFront,,Amazon CloudFront AU-Requests-HTTPS-Proxy,"$0.0125 per 10,000 Proxy HTTPS Requests (Australia)",0.06,0.05,0.009999999999999995
